%  columns="iteration, evaluation, void, void, void, xmean" (startseed=206354, 2016/04/14 11:6:12.55)
0 1 0 0 0 3.096581e-01 8.189975e-02 -2.466265e-01 1.039302e-01 3.564510e-01 -2.131717e-01 -3.058696e-01 -1.307367e-01 5.302740e-01 -7.216378e-02 -1.700761e-02 -2.425000e-02 2.118416e-01 4.907452e-01 -1.797619e-01 -4.833975e-03 -2.422073e-02 2.387831e-01 5.039278e-01 6.625864e-03 1.594819e-02 -2.425000e-02 2.120981e-01 1.028195e-01 -5.495532e-03 6.001846e-03 2.425000e-02 2.640089e-01 
1 14 0 0 0 2.543278e-01 7.692057e-02 -2.522893e-01 8.259320e-02 4.039579e-01 -2.140985e-01 -2.993813e-01 -2.682047e-01 5.128347e-01 -4.034481e-01 -1.370470e-02 -1.757950e-02 1.969880e-01 6.302087e-01 -1.133810e-02 -6.786743e-03 -3.340681e-02 3.381864e-01 5.803173e-01 1.465099e-02 1.763881e-02 -2.614753e-02 2.328156e-01 -1.338051e-01 -1.064075e-01 1.359054e-02 2.969233e-02 2.858252e-01 
2 27 0 0 0 2.701017e-01 1.645078e-01 -2.563079e-01 8.657878e-02 4.165036e-01 -4.589661e-01 -2.911610e-01 -4.351986e-01 3.597190e-01 -5.000663e-01 -1.076572e-02 -2.386881e-02 1.691422e-01 9.185829e-01 7.454332e-03 2.036162e-03 -3.385217e-02 3.168695e-01 4.676645e-01 -7.742006e-02 2.159288e-02 -2.916754e-02 2.280568e-01 -4.250729e-01 -6.607932e-02 8.185584e-03 2.701431e-02 2.748580e-01 
3 40 0 0 0 2.301598e-01 2.625693e-01 -2.483434e-01 5.265216e-02 3.775247e-01 -3.729075e-01 -2.857023e-01 -3.696446e-01 2.955553e-01 -3.853800e-01 -1.307697e-02 -2.150508e-02 1.546076e-01 9.018409e-01 -8.837823e-02 1.146729e-02 -1.624056e-02 3.379571e-01 8.391420e-02 6.111518e-02 2.383269e-02 -2.362242e-02 2.698791e-01 -1.184795e-01 -3.730089e-01 7.958021e-03 2.830161e-02 2.765679e-01 
4 53 0 0 0 2.964012e-01 1.039496e-01 -2.430494e-01 4.472597e-02 4.343550e-01 -3.709434e-01 -2.866252e-01 -3.291082e-01 4.259400e-01 -3.073996e-01 -1.748476e-02 -2.615753e-02 1.123371e-01 9.724574e-01 -3.935442e-02 1.224349e-02 -1.226226e-02 3.257780e-01 2.604927e-02 1.386559e-01 2.607576e-02 -2.584506e-02 2.673063e-01 -5.129911e-02 -4.171817e-01 4.952936e-03 2.950178e-02 4.030378e-01 
5 66 0 0 0 2.910632e-01 1.344224e-01 -2.491024e-01 -4.920900e-02 4.904677e-01 -3.905190e-01 -2.917690e-01 -5.681278e-01 5.659895e-01 -2.472248e-01 -1.793941e-02 -2.158192e-02 1.200478e-01 9.847749e-01 7.195805e-02 8.885708e-03 -2.319967e-02 2.938463e-01 4.098494e-02 2.985004e-01 2.139576e-02 -2.175221e-02 2.447984e-01 2.718512e-02 -4.180861e-01 1.002315e-02 2.997966e-02 3.796922e-01 
6 79 0 0 0 3.233610e-01 9.211930e-03 -2.557480e-01 2.996381e-03 4.738910e-01 -6.863427e-01 -2.943200e-01 -4.111984e-01 7.180875e-01 -1.563553e-01 -2.407024e-02 -1.981513e-02 1.263211e-01 1.097307e+00 1.206027e-01 7.775398e-03 -1.781785e-02 2.529136e-01 4.920009e-02 2.279571e-01 1.905936e-02 -2.030868e-02 2.087150e-01 1.231265e-01 -4.051415e-01 1.249846e-02 2.228192e-02 2.862596e-01 
7 92 0 0 0 3.340478e-01 2.953012e-02 -2.517260e-01 7.981880e-02 4.303655e-01 -6.299145e-01 -3.027485e-01 -6.442254e-01 8.816952e-01 -2.893103e-01 -2.153225e-02 -9.607022e-03 1.358383e-01 1.009472e+00 2.263291e-01 1.772074e-02 -1.996678e-02 2.804368e-01 3.136348e-01 1.613376e-01 2.202172e-02 -2.443070e-02 2.032372e-01 5.476834e-02 -4.437144e-01 1.274022e-02 1.962138e-02 2.729757e-01 
8 105 0 0 0 3.860009e-01 8.496753e-02 -2.474999e-01 7.086679e-02 3.829146e-01 -6.360506e-01 -3.014688e-01 -5.410960e-01 7.879035e-01 -2.811822e-01 -1.550983e-02 -1.035970e-02 1.434064e-01 9.543279e-01 1.882089e-01 1.558050e-02 -2.271782e-02 2.733221e-01 3.619593e-01 2.111519e-01 2.175633e-02 -1.946722e-02 2.276802e-01 6.837305e-02 -3.104682e-01 3.747259e-03 2.065756e-02 2.876502e-01 
9 118 0 0 0 4.225508e-01 8.388196e-02 -2.497123e-01 8.033406e-02 3.324177e-01 -5.656869e-01 -2.966098e-01 -7.170984e-01 6.397764e-01 -2.495687e-01 -1.338987e-02 -5.925975e-03 1.240057e-01 7.992097e-01 2.186849e-01 2.022861e-02 -2.117676e-02 2.161757e-01 3.775941e-01 2.695193e-01 2.753783e-02 -1.119276e-02 2.740931e-01 -4.597607e-02 -4.434713e-01 8.292280e-03 2.289632e-02 2.466838e-01 
