%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=206354, 2016/04/14 11:6:12.55)
1 14 4.038176e-01 3.495095e+01  6.452085155710767200e+07  6.473337800187891700e+07  6.551976305274942500e+07  6.609143491083880500e+07
2 27 3.843389e-01 3.522368e+01  6.452085155710767200e+07  6.471439333656172500e+07  6.531087561432550100e+07  6.601191346078570900e+07
3 40 3.692413e-01 3.513823e+01  6.452085155710767200e+07  6.467127419167196800e+07  6.509842762543560600e+07  6.621326375952393600e+07
4 53 3.562019e-01 3.513719e+01  6.452085155710767200e+07  6.460601924756068700e+07  6.502327716947131600e+07  6.582378743452495300e+07
5 66 3.378146e-01 3.516383e+01  6.452085155710767200e+07  6.457694503736478800e+07  6.487350329887954900e+07  6.581084094607475400e+07
6 79 3.218460e-01 3.521350e+01  6.452085155710767200e+07  6.453375191216100800e+07  6.499439016847512100e+07  6.595351912546323200e+07
7 92 3.096399e-01 3.522311e+01  6.452085155710767200e+07  6.454884971778665500e+07  6.480467415087702100e+07  6.585631250642779500e+07
8 105 2.906410e-01 3.520945e+01  6.449903964091181000e+07  6.449903964091181000e+07  6.466764834692692800e+07  6.483437225145290000e+07
9 118 2.825917e-01 3.526579e+01  6.449903964091181000e+07  6.455861945243413000e+07  6.470018811378467100e+07  6.575959753208658100e+07
10 131 2.749128e-01 3.529166e+01  6.447138515898834900e+07  6.447138515898834900e+07  6.462894916088087900e+07  6.576957628654736300e+07
11 144 2.654456e-01 3.533920e+01  6.447138515898834900e+07  6.456601867702685300e+07  6.466919921875413500e+07  6.549435838355182900e+07
12 157 2.576490e-01 3.546182e+01  6.447138515898834900e+07  6.454357628276363000e+07  6.473885710648831700e+07  6.488176938091075400e+07
13 170 2.524400e-01 3.552940e+01  6.447138515898834900e+07  6.451277738849020000e+07  6.462703269389185300e+07  6.492227691888089500e+07
14 183 2.439449e-01 3.556490e+01  6.447138515898834900e+07  6.450801618481148000e+07  6.461475822018441600e+07  6.469309556832475200e+07
15 196 2.335805e-01 3.572683e+01  6.446508163233585700e+07  6.446508163233585700e+07  6.460776113495373700e+07  6.512644382534029300e+07
16 209 2.268505e-01 3.595018e+01  6.446508163233585700e+07  6.448022039774218900e+07  6.455404156178167500e+07  6.473175605998642700e+07
17 222 2.243797e-01 3.594799e+01  6.446508163233585700e+07  6.448136309642323100e+07  6.462228996423515700e+07  6.497301391485864700e+07
18 235 2.170596e-01 3.603302e+01  6.446508163233585700e+07  6.450874699566527500e+07  6.464885498033724000e+07  6.479778941722956300e+07
19 248 2.106047e-01 3.601737e+01  6.446508163233585700e+07  6.449810803626129800e+07  6.459153268741270900e+07  6.470421137955480800e+07
20 261 2.069379e-01 3.603475e+01  6.446508163233585700e+07  6.449947305946683900e+07  6.459030824103119200e+07  6.540894478497151300e+07
21 274 2.049829e-01 3.602721e+01  6.446508163233585700e+07  6.450290366620937700e+07  6.462860960892132700e+07  6.498331514529610400e+07
22 287 1.986314e-01 3.575234e+01  6.446508163233585700e+07  6.454459053234908000e+07  6.462608716746182000e+07  6.471659772554145800e+07
23 300 1.907699e-01 3.580964e+01  6.446508163233585700e+07  6.450390298069627600e+07  6.461455734619148100e+07  6.479884258307486800e+07
24 313 1.825745e-01 3.577337e+01  6.446508163233585700e+07  6.449624749071051200e+07  6.460120667038543500e+07  6.475863918671097600e+07
25 326 1.771890e-01 3.577892e+01  6.446508163233585700e+07  6.450632136954969200e+07  6.457221728510448300e+07  6.471940732319428000e+07
26 339 1.704179e-01 3.580622e+01  6.446508163233585700e+07  6.447057276365022400e+07  6.456662889469927500e+07  6.480067552965963600e+07
27 352 1.672023e-01 3.581397e+01  6.446508163233585700e+07  6.446695971405783300e+07  6.452736773092281100e+07  6.470116211324432500e+07
28 365 1.640990e-01 3.583347e+01  6.446303549203220000e+07  6.446303549203220000e+07  6.457052837695669400e+07  6.476360670367515800e+07
29 378 1.590956e-01 3.591307e+01  6.445571340564709200e+07  6.445571340564709200e+07  6.450322369046936900e+07  6.459712728361067900e+07
30 391 1.565264e-01 3.597406e+01  6.443279085825943900e+07  6.443279085825943900e+07  6.453012043448340900e+07  6.465205719558639800e+07
31 404 1.546568e-01 3.602666e+01  6.443279085825943900e+07  6.445006417153579700e+07  6.451931252444099600e+07  6.461649083304533400e+07
32 417 1.519354e-01 3.629560e+01  6.443279085825943900e+07  6.445294898276604700e+07  6.448623359633511300e+07  6.456361749711116400e+07
33 430 1.491289e-01 3.673907e+01  6.443279085825943900e+07  6.444362211938063100e+07  6.447432785234801500e+07  6.458709518549974300e+07
34 443 1.462382e-01 3.686694e+01  6.443279085825943900e+07  6.444075911959598200e+07  6.445166589110258200e+07  6.457614695606091600e+07
35 456 1.431996e-01 3.712026e+01  6.442983256208702200e+07  6.442983256208702200e+07  6.451676935711205800e+07  6.457870503135385400e+07
36 469 1.384144e-01 3.730979e+01  6.442983256208702200e+07  6.444988785558807100e+07  6.447393726605033900e+07  6.454501686225386000e+07
37 482 1.335676e-01 3.740491e+01  6.442983256208702200e+07  6.443548150491504400e+07  6.446953093842189000e+07  6.457022626767844000e+07
38 495 1.271703e-01 3.750687e+01  6.442983256208702200e+07  6.443359810429115600e+07  6.445179378574823600e+07  6.452086227036902300e+07
39 508 1.205610e-01 3.757612e+01  6.442983256208702200e+07  6.444530697322085500e+07  6.446826130391135100e+07  6.449482239552526900e+07
40 521 1.157855e-01 3.759178e+01  6.442983256208702200e+07  6.443209226528433000e+07  6.447313502560240000e+07  6.451417340587151100e+07
41 534 1.132478e-01 3.760022e+01  6.442983256208702200e+07  6.443818092465879800e+07  6.446395728580118000e+07  6.453434357618322200e+07
42 547 1.109630e-01 3.768886e+01  6.442983256208702200e+07  6.443549255862797800e+07  6.445869239055152200e+07  6.450195236344208600e+07
43 560 1.110089e-01 3.771348e+01  6.442698862050704700e+07  6.442698862050704700e+07  6.447760633575110900e+07  6.456414907606800600e+07
44 573 1.141321e-01 3.790505e+01  6.442698862050704700e+07  6.443113803467624600e+07  6.445346864194049700e+07  6.451724068441101200e+07
45 586 1.152938e-01 3.798625e+01  6.442698862050704700e+07  6.443296500010069500e+07  6.445603015736444300e+07  6.456948474337352100e+07
46 599 1.142551e-01 3.801981e+01  6.442084209035686400e+07  6.442084209035686400e+07  6.443749423098488200e+07  6.454479686096541600e+07
47 612 1.127573e-01 3.809393e+01  6.442070106894244300e+07  6.442070106894244300e+07  6.444485526569381400e+07  6.453820944949659000e+07
48 625 1.091510e-01 3.797063e+01  6.442070106894244300e+07  6.442698216864987500e+07  6.444578071593232500e+07  6.448652972559455800e+07
49 638 1.058469e-01 3.829014e+01  6.441168166995976900e+07  6.441168166995976900e+07  6.444405012520217900e+07  6.449032276278577700e+07
50 651 1.024686e-01 3.835631e+01  6.441168166995976900e+07  6.441177149029053000e+07  6.444030043804845200e+07  6.448414045664075000e+07
51 664 1.004789e-01 3.844331e+01  6.440540044997849300e+07  6.440540044997849300e+07  6.443191245244172200e+07  6.446422270535478000e+07
52 677 9.706158e-02 3.828772e+01  6.440540044997849300e+07  6.440551803287165600e+07  6.442409060240452000e+07  6.447183598229438800e+07
53 690 9.582852e-02 3.851410e+01  6.440138027589574500e+07  6.440138027589574500e+07  6.441608734593308000e+07  6.445312299032009400e+07
54 703 9.316595e-02 3.869274e+01  6.439593775578811800e+07  6.439593775578811800e+07  6.441965853413575100e+07  6.448332249845752100e+07
55 716 9.375848e-02 3.867988e+01  6.439593775578811800e+07  6.440687276472029100e+07  6.442906836688038000e+07  6.444470236120764900e+07
56 729 9.270811e-02 3.860923e+01  6.439593775578811800e+07  6.440530254562504600e+07  6.441789977608144300e+07  6.443441751862946200e+07
57 742 9.201721e-02 3.863067e+01  6.439593775578811800e+07  6.439919035140009200e+07  6.441904760883323800e+07  6.445897780668301900e+07
58 755 9.010284e-02 3.873758e+01  6.439593775578811800e+07  6.440672021252606800e+07  6.441342758917073200e+07  6.445953016618442500e+07
59 768 8.963032e-02 3.877312e+01  6.439593775578811800e+07  6.440309026831714800e+07  6.441807446717669100e+07  6.444762115994984700e+07
60 781 8.777049e-02 3.892346e+01  6.439593775578811800e+07  6.439824638780885900e+07  6.441893966176619400e+07  6.446636111071515100e+07
61 794 8.496100e-02 3.892110e+01  6.439593775578811800e+07  6.440219026843115700e+07  6.441450458029687400e+07  6.444868501520263400e+07
62 807 8.210270e-02 3.910041e+01  6.439593775578811800e+07  6.439681894628655900e+07  6.441141885147208700e+07  6.442956986523959800e+07
63 820 8.082801e-02 3.915344e+01  6.439321704512753300e+07  6.439321704512753300e+07  6.440300483918099900e+07  6.442325051063023500e+07
64 833 8.070977e-02 3.930275e+01  6.439183520283518000e+07  6.439183520283518000e+07  6.439856849038591200e+07  6.440509469232390800e+07
65 846 7.844600e-02 3.938647e+01  6.439183520283518000e+07  6.439263623376093800e+07  6.439937391726222600e+07  6.441899297447574900e+07
66 859 7.766255e-02 3.966278e+01  6.439183520283518000e+07  6.439396436218729600e+07  6.439881771802972300e+07  6.442099125424313500e+07
67 872 7.744451e-02 3.980790e+01  6.439146592901884000e+07  6.439146592901884000e+07  6.439681988288871900e+07  6.442331327621361600e+07
68 885 7.651637e-02 3.990636e+01  6.439146592901884000e+07  6.439432981051912900e+07  6.440167599909649000e+07  6.441378677757623000e+07
69 898 7.633197e-02 3.977168e+01  6.439146592901884000e+07  6.440013327551066100e+07  6.440293280177313100e+07  6.442388123409543900e+07
70 911 7.600865e-02 3.968851e+01  6.439146592901884000e+07  6.439593624022347500e+07  6.441501251111926100e+07  6.444097067438031700e+07
71 924 7.436637e-02 3.970123e+01  6.439146592901884000e+07  6.440162646751566200e+07  6.440501327294315400e+07  6.444807957196597800e+07
72 937 7.413727e-02 3.981841e+01  6.439146592901884000e+07  6.439644600055213300e+07  6.440749790449282500e+07  6.443196719970875200e+07
73 950 7.391612e-02 3.965765e+01  6.439146592901884000e+07  6.439987229101184800e+07  6.440810821712610100e+07  6.441571662268517900e+07
74 963 7.387743e-02 3.949660e+01  6.439146592901884000e+07  6.439599251813179300e+07  6.440402831392326200e+07  6.445301169675835200e+07
75 976 7.295467e-02 3.925647e+01  6.439146592901884000e+07  6.439812996696670400e+07  6.440861199332466700e+07  6.442193226396493600e+07
76 989 7.246082e-02 3.924934e+01  6.439146592901884000e+07  6.439221599392148900e+07  6.440390017274937800e+07  6.444666842545791000e+07
77 1002 7.278481e-02 3.923228e+01  6.439146592901884000e+07  6.439185785844044400e+07  6.439980448782722700e+07  6.443283864252553100e+07
78 1015 7.294205e-02 3.926396e+01  6.439146592901884000e+07  6.439394901556791400e+07  6.441168897664962700e+07  6.443553675912520300e+07
79 1028 7.349400e-02 3.919624e+01  6.439146592901884000e+07  6.439248226395243400e+07  6.439882829366353900e+07  6.442672237483951400e+07
80 1041 7.441447e-02 3.918212e+01  6.438978588582217700e+07  6.438978588582217700e+07  6.439942843122771400e+07  6.441272474149914800e+07
81 1054 7.271021e-02 3.916045e+01  6.438978588582217700e+07  6.438983608989984500e+07  6.439627157540948700e+07  6.441275271436878300e+07
82 1067 6.978587e-02 3.922286e+01  6.438978588582217700e+07  6.439003442037077200e+07  6.439471522846262200e+07  6.441533437606615600e+07
83 1080 6.678327e-02 3.920786e+01  6.438968988530455500e+07  6.438968988530455500e+07  6.439556717680308200e+07  6.440497410230165000e+07
